state,district,per_affluent,per_middleincome,per_poor
uttar pradesh ,ballia ,8.49,65.51,25.99
uttar pradesh ,balrampur ,6.47,47.69,45.84
uttar pradesh ,banda ,9.22,61.13,29.66
uttar pradesh ,bara banki ,10.28,51.69,38.03
uttar pradesh ,bareilly ,24.73,53.11,22.16
uttar pradesh ,basti ,8.38,65.17,26.45
uttar pradesh ,bijnor ,26.62,58.92,14.46
uttar pradesh ,budaun ,12.39,53.82,33.79
uttar pradesh ,bulandshahr ,34.09,57.3,8.61
uttar pradesh ,chandauli ,17.28,60.52,22.19
uttar pradesh ,chitrakoot ,7.4,60.06,32.54
uttar pradesh ,deoria ,10.2,66.69,23.12
uttar pradesh ,etah ,16.55,59.06,24.38
uttar pradesh ,etawah ,20.21,71.94,7.85
uttar pradesh ,faizabad ,10.04,60.65,29.3
uttar pradesh ,farrukhabad ,11.25,60.56,28.2
uttar pradesh ,fatehpur ,7.58,45.95,46.47
uttar pradesh ,firozabad ,23.04,66.37,10.58
uttar pradesh ,gautam buddha naga ,50.13,48.46,1.41
uttar pradesh ,ghaziabad ,48.84,48.41,2.75
uttar pradesh ,ghazipur ,9.34,64.47,26.19
uttar pradesh ,gonda ,6.49,50.01,43.5
uttar pradesh ,gorakhpur ,19.85,60.9,19.25
uttar pradesh ,hamirpur ,17.29,61.87,20.83
uttar pradesh ,hardoi ,8.24,46.61,45.14
uttar pradesh ,jalaun ,23.9,66.45,9.65
uttar pradesh ,jaunpur ,11.63,70.68,17.7
uttar pradesh ,jhansi ,37.27,55.06,7.67
uttar pradesh ,jyotiba phule naga ,24.79,59.36,15.85
uttar pradesh ,kannauj ,9.57,66.43,24
uttar pradesh ,kanpur dehat ,7.57,51.53,40.89
uttar pradesh ,kanpur nagar ,48.63,39.17,12.21
uttar pradesh ,kanshiram nagar ,11.77,59.02,29.2
uttar pradesh ,kaushambi ,8.8,49.22,41.98
uttar pradesh ,kheri ,5.93,44.11,49.96
uttar pradesh ,kushinagar ,6.89,54.79,38.32
uttar pradesh ,lalitpur ,12.71,69.14,18.15
uttar pradesh ,lucknow ,56.77,37.66,5.57
uttar pradesh ,mahamaya nagar ,23.18,67.19,9.63
uttar pradesh ,mahoba ,17.84,66.47,15.69
uttar pradesh ,mahrajganj ,7.76,55.28,36.96
uttar pradesh ,mainpuri ,14.47,70.94,14.59
uttar pradesh ,mathura ,30.07,64.64,5.29
uttar pradesh ,mau ,8.6,76.56,14.85
uttar pradesh ,meerut ,54.4,42.67,2.93
uttar pradesh ,mirzapur ,9.35,65.94,24.71
uttar pradesh ,moradabad ,25.52,60.2,14.29
uttar pradesh ,muzaffarnagar ,35.77,58.06,6.17
uttar pradesh ,pilibhit ,12.83,52.63,34.54
uttar pradesh ,pratapgarh ,11.25,66.71,22.04
uttar pradesh ,rae bareli ,12.43,63.55,24.02
uttar pradesh ,rampur ,19.38,66.2,14.42
uttar pradesh ,saharanpur ,31.35,62.75,5.91
uttar pradesh ,sant kabir nagar ,7.12,63.74,29.15
uttar pradesh ,sant ravidas nagar ,11.44,71.65,16.92
uttar pradesh ,shahjahanpur ,12.27,49.93,37.8
uttar pradesh ,shrawasti ,1.58,37.26,61.17
uttar pradesh ,siddharth nagar ,6.15,65.54,28.3
uttar pradesh ,sitapur ,6.75,38.25,55
uttar pradesh ,sonbhadra ,16.14,41.71,42.14
uttar pradesh ,sultanpur ,9.77,69.3,20.93
uttar pradesh ,unnao ,10.77,51.63,37.6
uttar pradesh ,varanasi ,25.83,65.09,9.08
uttarakhand ,almora ,7.44,88.07,4.49
uttarakhand ,bageshwar ,11.31,84.79,3.9
uttarakhand ,chamoli ,10.71,83.91,5.38
uttarakhand ,champawat ,18.84,73.73,7.42
uttarakhand ,dehradun ,63.3,35.98,0.72
uttarakhand ,garhwal ,21.9,75.25,2.84
uttarakhand ,hardwar ,41.04,56.12,2.84
uttarakhand ,nainital ,45.04,53.18,1.78
uttarakhand ,pithoragarh ,12.41,82.21,5.38
uttarakhand ,rudraprayag ,9.13,89.25,1.63
uttarakhand ,tehri garhwal ,18.89,78.55,2.55
uttarakhand ,udham singh nagar ,35.6,60.28,4.13
uttarakhand ,uttarkashi ,13.68,76.93,9.39
west bengal ,bankura ,9.09,74.92,15.99
west bengal ,barddhaman ,17.24,73.19,9.57
west bengal ,birbhum ,6.96,77.62,15.42
west bengal ,dakshin dinajpur ,3.88,84.82,11.29
west bengal ,darjiling ,18.54,76.39,5.07
west bengal ,haora ,19.86,77.79,2.35
west bengal ,hugli ,15.95,76.83,7.22
west bengal ,jalpaiguri ,7.62,76.66,15.71
west bengal ,koch bihar ,3.02,81.04,15.94
west bengal ,kolkata ,35,64.9,0.1
west bengal ,maldah ,3.27,85.78,10.95
west bengal ,murshidabad ,4.53,82.82,12.64
west bengal ,nadia ,11.02,83.05,5.93
west bengal ,north twenty four  ,19.36,76.91,3.73
west bengal ,paschim medinipur ,9.77,78.61,11.62
west bengal ,purba medinipur ,8.62,85.55,5.83
west bengal ,puruliya ,5.54,71.2,23.26
west bengal ,south twenty four  ,6.71,78.46,14.84
west bengal ,uttar dinajpur ,4.99,75.85,19.16
