state,district,per_affluent,per_middleincome,per_poor
delhi ,west ,81.6,18.4,0
goa ,north goa ,66.5,33.15,0.35
goa ,south goa ,70.55,29.32,0.13
gujarat ,ahmadabad ,62.71,36.46,0.84
gujarat ,amreli ,41.56,57.18,1.26
gujarat ,anand ,27.85,69.66,2.49
gujarat ,banaskantha ,17.95,74.21,7.84
gujarat ,bharuch ,35.18,59.55,5.28
gujarat ,bhavnagar ,24.86,73.71,1.43
gujarat ,dohad ,10.93,69.62,19.45
gujarat ,gandhinagar ,41.35,52.18,6.46
gujarat ,jamnagar ,42.42,55.88,1.7
gujarat ,junagadh ,34.36,65.05,0.6
gujarat ,kachchh ,28.78,67.17,4.05
gujarat ,kheda ,18.87,73.87,7.25
gujarat ,mahesana ,37.35,60.36,2.29
gujarat ,narmada ,15.49,72.5,12.01
gujarat ,navsari ,32.56,64.88,2.55
gujarat ,panchmahal ,16.89,69.01,14.09
gujarat ,patan ,20.75,74.39,4.85
gujarat ,porbandar ,39.57,59.4,1.03
gujarat ,rajkot ,55.53,43.57,0.9
gujarat ,sabarkantha ,27.87,66.13,6.01
gujarat ,surat ,49.36,49,1.64
gujarat ,surendranagar ,34.57,63.29,2.14
gujarat ,tapi ,15.01,74.95,10.04
gujarat ,the dangs ,5.22,73.61,21.17
gujarat ,vadodara ,35.6,58.92,5.47
gujarat ,valsad ,41.82,53.38,4.8
haryana ,ambala ,82.42,17.29,0.28
haryana ,bhiwani ,62.77,36.4,0.83
haryana ,faridabad ,58.12,41.62,0.26
haryana ,fatehabad ,65.52,33.77,0.71
haryana ,gurgaon ,59.32,40.26,0.43
haryana ,hisar ,61.4,37.72,0.88
haryana ,jhajjar ,70.83,28.55,0.62
haryana ,jind ,62.03,37.17,0.8
haryana ,kaithal ,65.38,34.31,0.31
haryana ,karnal ,64.83,34.77,0.4
haryana ,kurukshetra ,70.9,28.69,0.41
haryana ,mahendragarh ,61.37,37.06,1.57
haryana ,mewat ,26.03,65.21,8.77
haryana ,palwal ,44.77,48.94,6.29
haryana ,panchkula ,85.36,14.32,0.32
haryana ,panipat ,72.79,26.96,0.25
haryana ,rewari ,61.29,37.67,1.04
haryana ,rohtak ,60.74,38.44,0.83
haryana ,sirsa ,64.07,34.87,1.05
haryana ,sonipat ,71.23,28.4,0.37
haryana ,yamunanagar ,70.35,29.11,0.54
himachal pradesh ,bilaspur ,46.81,52.8,0.39
himachal pradesh ,chamba ,24.97,73.36,1.67
himachal pradesh ,hamirpur ,53.58,46.07,0.35
himachal pradesh ,kangra ,51.53,48.06,0.4
himachal pradesh ,kinnaur ,26.73,72.06,1.2
himachal pradesh ,kullu ,20.24,78.22,1.54
himachal pradesh ,lahul and spiti ,9.28,89.17,1.56
himachal pradesh ,mandi ,31.14,67.89,0.97
himachal pradesh ,shimla ,39.33,59.95,0.71
himachal pradesh ,sirmaur ,44.07,54.91,1.03
himachal pradesh ,solan ,57.79,41.43,0.78
himachal pradesh ,una ,55.28,44.12,0.61
jammu and kashmir ,anantnag ,23.47,74.15,2.39
jammu and kashmir ,badgam ,29.08,69.92,1
jammu and kashmir ,bandipore ,20.7,76.23,3.07
jammu and kashmir ,baramula ,30.37,67.95,1.68
jammu and kashmir ,doda ,7.73,83.02,9.25
jammu and kashmir ,ganderbal ,31.24,67.89,0.87
jammu and kashmir ,jammu ,72.32,27.09,0.6
jammu and kashmir ,kargil ,8.34,88.56,3.1
jammu and kashmir ,kathua ,48.64,50.06,1.3
jammu and kashmir ,kishtwar ,12.8,75.12,12.08
jammu and kashmir ,kulgam ,14.6,83.23,2.17
jammu and kashmir ,kupwara ,14.96,79.98,5.06
jammu and kashmir ,leh ,21.02,76.65,2.33
jammu and kashmir ,pulwama ,36.59,62.32,1.09
jammu and kashmir ,punch ,21.41,74.83,3.76
jammu and kashmir ,rajouri ,24.59,67.61,7.8
jammu and kashmir ,ramban ,7.83,78.88,13.28
jammu and kashmir ,reasi ,27.24,62.71,10.05
jammu and kashmir ,samba ,60.92,36.05,3.03
jammu and kashmir ,shupiyan ,27.86,69.97,2.17
jammu and kashmir ,srinagar ,73.74,26.19,0.07
jammu and kashmir ,udhampur ,32.49,63.08,4.43
jharkhand ,bokaro ,21.33,66.85,11.82
jharkhand ,chatra ,3.55,47.52,48.93
jharkhand ,deoghar ,8.56,70.3,21.14
jharkhand ,dhanbad ,20.75,72.81,6.44
jharkhand ,dumka ,3.11,61.87,35.02
jharkhand ,garhwa ,1.93,55.98,42.09
jharkhand ,giridih ,6.89,82.23,10.87
jharkhand ,godda ,3.48,72.4,24.12
jharkhand ,gumla ,4.52,67.98,27.5
jharkhand ,hazaribagh ,13.06,80.96,5.99
jharkhand ,jamtara ,3.45,75.26,21.29
jharkhand ,khunti ,3.51,62.36,34.13
jharkhand ,kodarma ,18.3,74.02,7.67
jharkhand ,latehar ,3.34,51.88,44.78
jharkhand ,lohardaga ,7.12,71.79,21.09
jharkhand ,pakur ,2.7,66.5,30.79
jharkhand ,palamu ,5.93,58.36,35.71
jharkhand ,pashchimi singhbhu ,6.46,50.92,42.62
jharkhand ,purbi singhbhum ,30.75,57,12.25
jharkhand ,ramgarh ,17.35,77.02,5.64
jharkhand ,ranchi ,22.27,67.44,10.3
jharkhand ,sahibganj ,3.26,66.48,30.26
jharkhand ,saraikela kharsawa ,17.91,62.46,19.63
jharkhand ,simdega ,1.8,56.11,42.08
karnataka ,bagalkot ,6.23,89.84,3.93
karnataka ,bangalore ,57.18,42.5,0.32
karnataka ,bangalore rural ,20.96,76.28,2.76
karnataka ,belgaum ,15.76,81.74,2.51
karnataka ,bellary ,10.44,85.99,3.57
karnataka ,bidar ,10.62,84.27,5.11
karnataka ,bijapur ,10.09,84.94,4.97
karnataka ,chamarajanagar ,4.45,89.79,5.76
karnataka ,chikkaballapura ,13.34,83.03,3.62
karnataka ,chikmagalur ,12.56,82.96,4.48
karnataka ,chitradurga ,12.38,81.31,6.31
karnataka ,dakshina kannada ,28.85,69.47,1.67
karnataka ,davanagere ,14.2,83.19,2.61
karnataka ,dharwad ,21.59,76.26,2.15
karnataka ,gadag ,8.63,83.84,7.54
karnataka ,gulbarga ,11.54,86.31,2.15
karnataka ,hassan ,16.28,80.84,2.89
karnataka ,haveri ,6.6,89.42,3.98
karnataka ,kodagu ,18.08,78.08,3.84
karnataka ,kolar ,18.78,79.54,1.68
karnataka ,koppal ,6.02,91.2,2.78
karnataka ,mandya ,12.63,85.16,2.21
karnataka ,mysore ,19.67,76.48,3.85
karnataka ,raichur ,11.4,82.7,5.9
karnataka ,ramanagara ,16.87,80.2,2.94
karnataka ,shimoga ,17.26,78.66,4.07
karnataka ,tumkur ,10.92,84.25,4.84
karnataka ,udupi ,28.35,70.48,1.17
karnataka ,uttara kannada ,16.35,80.07,3.59
karnataka ,yadgir ,8.17,86.29,5.54
kerala ,alappuzha ,50.22,49.61,0.18
kerala ,ernakulam ,71.22,28.78,0
kerala ,idukki ,44.67,54.43,0.9
kerala ,kannur ,55.58,43.57,0.86
kerala ,kasaragod ,45.23,54.11,0.66
kerala ,kollam ,56.76,42,1.23
kerala ,kottayam ,62.18,37.7,0.12
kerala ,kozhikode ,58.61,41.12,0.26
kerala ,malappuram ,56.5,43.07,0.43
kerala ,palakkad ,50.23,49.09,0.68
kerala ,pathanamthitta ,58.4,41.16,0.44
kerala ,thiruvananthapuram ,53.09,46.11,0.8
kerala ,thrissur ,67.86,32.01,0.13
kerala ,wayanad ,28.07,68.76,3.17
lakshadweep ,lakshadweep ,63.5,36.5,0
madhya pradesh ,alirajpur ,5.42,81.33,13.25
madhya pradesh ,anuppur ,18.76,56.02,25.23
madhya pradesh ,ashoknagar ,15.82,69.69,14.49
madhya pradesh ,balaghat ,12.88,68.13,18.99
madhya pradesh ,barwani ,12.64,69.04,18.32
madhya pradesh ,betul ,25.46,58.52,16.03
madhya pradesh ,bhind ,22.35,67.62,10.04
madhya pradesh ,bhopal ,57.16,41.68,1.16
madhya pradesh ,burhanpur ,21.26,65.4,13.34
madhya pradesh ,chhatarpur ,11.82,66.53,21.65
madhya pradesh ,chhindwara ,20.62,62.61,16.77
madhya pradesh ,damoh ,8.97,69.23,21.79
madhya pradesh ,datia ,20.47,69.19,10.34
madhya pradesh ,dewas ,27.8,67.19,5.01
madhya pradesh ,dhar ,18.12,72.99,8.9
madhya pradesh ,dindori ,4.05,57.48,38.47
madhya pradesh ,guna ,18.47,73.25,8.28
madhya pradesh ,gwalior ,47.55,48.77,3.68
madhya pradesh ,harda ,26.63,65.69,7.68
madhya pradesh ,hoshangabad ,31.89,59.84,8.27
madhya pradesh ,indore ,53.34,46.03,0.63
madhya pradesh ,jabalpur ,39.17,51.74,9.09
madhya pradesh ,jhabua ,6.42,74.16,19.42
madhya pradesh ,katni ,15.57,58.7,25.73
madhya pradesh ,khandwa (east nima ,22.26,66.53,11.21
madhya pradesh ,khargone (west nim ,24.01,69.31,6.68
madhya pradesh ,mandla ,11.54,58.03,30.43
madhya pradesh ,mandsaur ,15.99,78.98,5.03
madhya pradesh ,morena ,28.51,61.24,10.25
madhya pradesh ,narsimhapur ,18.74,61.28,19.99
madhya pradesh ,neemuch ,18.32,76.95,4.73
madhya pradesh ,panna ,10.67,64.8,24.53
madhya pradesh ,raisen ,22.56,68.62,8.81
madhya pradesh ,rajgarh ,13.89,79.29,6.81
madhya pradesh ,ratlam ,21.09,66.04,12.87
madhya pradesh ,rewa ,10.93,69.73,19.35
madhya pradesh ,sagar ,11.49,70.65,17.86
madhya pradesh ,satna ,15.65,66.51,17.84
madhya pradesh ,sehore ,27.79,68.47,3.74
madhya pradesh ,seoni ,13.89,61.43,24.68
madhya pradesh ,shahdol ,9.92,57.46,32.63
madhya pradesh ,shajapur ,18.24,76.58,5.18
madhya pradesh ,sheopur ,15.18,66.53,18.29
madhya pradesh ,shivpuri ,16.37,67.68,15.96
madhya pradesh ,sidhi ,6.33,63.32,30.35
madhya pradesh ,singrauli ,13.46,50.5,36.04
madhya pradesh ,tikamgarh ,10.23,71.69,18.08
madhya pradesh ,ujjain ,27.53,68.03,4.43
madhya pradesh ,umaria ,13.49,58.94,27.57
madhya pradesh ,vidisha ,10.37,70.31,19.32
maharashtra ,ahmadnagar ,29.52,62.88,7.6
maharashtra ,akola ,35.15,58.82,6.03
